Regional Area,Program Code,Project,Project Contact,Species,Run,Stock,Stock CU Index,Stock CU Name,Stock Stat Area,Objective,Production Strategy Level, Egg Target ,Production Activity Type,Release/ Transfer Stage,Release Site/ Transfer Project,Release/Transfer Facility,Release Stat Area, Release/ Transfer Target , Coded Wire Tag Target , Fin Clip Target ,Clip Type, Thermal Mark Target , Parentage-based Tag Target , PIT Tag Target ,Target Status,Licence NOT Held By SEP,Comment,Data Status (SPA Internal)
BC North Coast,DPI,Terrace,StAD Biologist - North Coast,Chinook,Summer,Kitsum Abv Canyon,CK-50,KALUM-LATE TIMING,4, Assessment ,Primary, -   ,Release,Smolt 1+,Kitsum Abv Canyon,Deep Creek/ SKNA H,4,30000,"30,000",,AD,,"30,000",,,,,Preliminary
BC North Coast,DPI,Terrace,StAD Biologist - North Coast,Chinook,Summer,Kitsum Bel Canyon,CK-50,KALUM-LATE TIMING,4, Assessment ,Primary,"150,300",Release,Fed Fry,Kitsum Bel Canyon,Deep Creek/ SKNA H,4,100000,"100,000",,AD,,"100,000",,,,,Preliminary
BC North Coast,DPI,Terrace,StAD Biologist - North Coast,Chinook,Summer,Kitsum Bel Canyon,CK-50,KALUM-LATE TIMING,4, Assessment ,Primary, -   ,Release,Smolt 1+,Kitsum Bel Canyon,Deep Creek/ SKNA H,4,30000,"30,000",,AD,,"30,000",,,,,Preliminary
BC North Coast,DPI,Terrace,StAD Biologist - North Coast,Coho,Fall,Deep Cr/SKNA,CO-32,LOWER SKEENA,4,,Alternate,"1,500",Transfer Out,Egg,Coast Mtn (Terrace) Sch,Terrace Schools,,1500,,,,,,,,,,Preliminary
BC North Coast,CDP,Toboggan Cr,CA - Smithers & Northwestern BC,Coho,Summer,Toboggan Cr,CO-33,MIDDLE SKEENA,4,,Primary,"62,000",Transfer Out,Egg,Bulkley Val Sch,Bulkley Valley Schools,,1300,,,,,,,,,,Preliminary
BC North Coast,CDP,Toboggan Cr,CA - Smithers & Northwestern BC,Coho,Summer,Toboggan Cr,CO-33,MIDDLE SKEENA,4, Stewardship ,Alternate,"5,000",Release,Unfed,Kathlyn Lk,Toboggan Creek H,4,5000,,,N/A,,"10,000",,,,"2023: Contingency release, allowing for BKD testing. Fish too small for tagging.",Preliminary
BC North Coast,CDP,Toboggan Cr,CA - Smithers & Northwestern BC,Coho,Summer,Toboggan Cr,CO-33,MIDDLE SKEENA,4, Assessment ,Primary, -   ,Release,Smolt 1+,Toboggan Cr,Toboggan Creek H,4,40000,"40,000",,AD,,"40,000",,,,,Preliminary
BC North Coast,AFS,Victor Cr,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Sockeye,Fall,Lagoon Cr/CCST,SEL-19-50,RODERICK,7, Stewardship ,Alternate,"50,000",Release,Fed Fry,Lagoon Cr/CCST,Victor Creek H,7,30000,,,,,,,,,2021: Lagoon Cr enhancement being changed to alternate production strategy with 30K fed fry and 15K smolt targets.,Preliminary
BC North Coast,AFS,Victor Cr,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Sockeye,Fall,Lagoon Cr/CCST,SEL-19-50,RODERICK,7, Stewardship ,Alternate, -   ,Release,Smolt 1+,Lagoon Cr/CCST,Victor Creek H,7,15000,,,,,,,,,2021: Lagoon Cr enhancement being changed to alternate production strategy with 30K fed fry and 15K smolt targets.,Preliminary
BC North Coast,AFS,Victor Cr,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Sockeye,Fall,Mary Cv Cr,SEL-19-40,MARY COVE CREEK,7, Stewardship ,Primary,"50,000",Release,Fed Fry,Mary Cv,Victor Creek H,7,30000,,,,,,,,,2021: Mary Cv Creek enhancement being changed to primary production strategy with 30K smolts and 15K fed fry targets.,Preliminary
BC North Coast,AFS,Victor Cr,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Sockeye,Fall,Mary Cv Cr,SEL-19-40,MARY COVE CREEK,7, Stewardship ,Primary, -   ,Release,Smolt 1+,Mary Cv,Victor Creek H,7,15000,,,,,,,,,2021: Mary Cv Creek enhancement being changed to primary production strategy with 30K smolts and 15K fed fry targets.,Preliminary
BC South Coast,CDP,Ahousaht,,Chum,Fall,Bedwell R,CM-10,SOUTHWEST VANCOUVER ISLAND,24, Rebuilding ,Primary,"125,000",Release,Fed Fry,Bedwell R,Ahousaht Hatchery,24,100000,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Chum,Fall,Dry Cr/SWVI,,,23, Stewardship ,Primary,"25,000",Release,Fed Fry,Dry Cr/SWVI,Jake Leyenaar H,23,20000,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Chum,Fall,Kitsuksis Cr,CM-10,SOUTHWEST VANCOUVER ISLAND,23, Stewardship ,Primary,"100,000",Release,Fed Fry,Dry Cr/SWVI,Jake Leyenaar H,23,20000,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Chum,Fall,Kitsuksis Cr,CM-10,SOUTHWEST VANCOUVER ISLAND,23, Stewardship ,Primary, -   ,Release,Fed Fry,Kitsuksis Cr,Jake Leyenaar H,23,75000,,,,,,,,,2024: Broodstock sometimes collected in the Somass near the Kitsuksis-Somass confluence.,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Chum,Fall,Rogers Cr,CM-10,SOUTHWEST VANCOUVER ISLAND,23, Stewardship ,Primary,"100,000",Release,Fed Fry,Dry Cr/SWVI,Jake Leyenaar H,23,20000,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Chum,Fall,Rogers Cr,CM-10,SOUTHWEST VANCOUVER ISLAND,23, Stewardship ,Primary, -   ,Release,Fed Fry,Rogers Cr,Jake Leyenaar H,23,75000,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Bear Cr/SWVI,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Primary,"40,000",Release,Unfed,Bear Cr/SWVI,Jake Leyenaar H,23,32400,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Beaver Cr Low/SWVI,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Primary,"16,000",Release,Fed Fry,Beaver Cr Low/SWVI,Jake Leyenaar H,23,13500,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Deer Cr,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Primary,"30,000",Release,Unfed,Deer Cr,Jake Leyenaar H,23,27000,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Dry Cr/SWVI,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Primary,"17,000",Release,Unfed,Dry Cr/SWVI,Jake Leyenaar H,23,15000,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Hal Cr,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Primary,"15,000",Release,Unfed,Hal Cr,Jake Leyenaar H,23,12150,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Kitsuksis Cr,CO-17,WEST VANCOUVER ISLAND,23,,Primary,"90,000",Transfer Out,Egg,Alberni Sch,Alberni Schools,,1500,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Kitsuksis Cr,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Alternate,"90,000",Release,Unfed,Beaver Cr Low/SWVI,Jake Leyenaar H,23,13500,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Kitsuksis Cr,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Alternate, -   ,Release,Unfed,Greig Cr/SWVI,Jake Leyenaar H,23,4050,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Kitsuksis Cr,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Alternate, -   ,Release,Unfed,Hal Cr,Jake Leyenaar H,23,12150,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Kitsuksis Cr,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Primary, -   ,Release,Unfed,Kitsuksis Cr,Jake Leyenaar H,23,85000,,,N/A,,"85,000",,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Kitsuksis Cr,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Alternate, -   ,Release,Unfed,Lugrin Cr,Jake Leyenaar H,23,4050,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Kitsuksis Cr,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Alternate, -   ,Release,Unfed,Plested Cr,Jake Leyenaar H,23,10000,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Kitsuksis Cr,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Alternate, -   ,Release,Unfed,Rogers Cr,Jake Leyenaar H,23,45000,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Plested Cr,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Primary,"15,000",Release,Unfed,Plested Cr,Jake Leyenaar H,23,13500,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Rogers Cr,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Primary,"50,000",Release,Unfed,Rogers Cr,Jake Leyenaar H,23,45000,,,,,,,,,Dependent on assessment of natural production.,Preliminary
BC South Coast,PIP,Alberni Enh Soc,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Spaht Cr,CO-17,WEST VANCOUVER ISLAND,23, Stewardship ,Primary,"10,000",Release,Unfed,Spaht Cr,Jake Leyenaar H,23,8100,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Sch,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Kitsuksis Cr,CO-17,WEST VANCOUVER ISLAND,23,,Primary, -   ,Transfer In,Egg,Alberni Enh Soc,Jake Leyenaar H,,1500,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Sch,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Kitsuksis Cr,CO-17,WEST VANCOUVER ISLAND,23, Education ,Primary, -   ,Release,Fed Fry,Kitsuksis Cr,Alberni Schools,23,1500,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Sch,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Kootowis Cr,CO-18,CLAYOQUOT,24,,Primary, -   ,Transfer In,Egg,Tofino,Tofino H,,400,,,,,,,,,,Preliminary
BC South Coast,PIP,Alberni Sch,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Coho,Fall,Kootowis Cr,CO-18,CLAYOQUOT,24, Education ,Primary, -   ,Release,Unfed,Kootowis Cr,Alberni Schools,24,400,,,,,,,,,,Preliminary
BC South Coast,OPS,Big Qualicum R,WEM - Big Qualicum Hatchery,Chinook,Fall,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,14,,Alternate,"900,500",Transfer Out,Egg,Powell R,Lang Creek H,,800000,,,,,,,,,,Preliminary
BC South Coast,OPS,Big Qualicum R,WEM - Big Qualicum Hatchery,Chinook,Fall,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,14,,Alternate, -   ,Transfer Out,Egg,Sliammon,Sliammon River H,,105000,,,,,,,,,,Preliminary
BC South Coast,OPS,Big Qualicum R,WEM - Big Qualicum Hatchery,Chinook,Fall,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,14, Assessment/Harvest ,Primary, -   ,Release,Smolt 0+,Big Qualicum R,Big Qualicum River H,14,3000000,"260,000",,AD,,"3,000,000",,,,2024: 1M delayed releases and 2M traditional releases to reflect varying survival rates.,Preliminary
BC South Coast,OPS,Big Qualicum R,WEM - Big Qualicum Hatchery,Chinook,Fall,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,14, Assessment/Harvest ,Primary,"3,300,000",Release,Smolt 0+,Big Qualicum R,Big Qualicum River H,14, -   ,"200,000",,NOMK,,,,,,,Preliminary
BC South Coast,OPS,Big Qualicum R,WEM - Big Qualicum Hatchery,Chum,Fall,Big Qualicum R,CM-4,GEORGIA STRAIT,14, Harvest ,Primary,"30,870,000",Release,Chan Fry,Big Qualicum R,Big Qualicum River H,14,18328000,,,,,,,,,,Preliminary
BC South Coast,OPS,Big Qualicum R,WEM - Big Qualicum Hatchery,Chum,Fall,Big Qualicum R,CM-4,GEORGIA STRAIT,14, Harvest ,Primary, -   ,Release,Fed Fry,Big Qualicum R,Big Qualicum River H,14,500000,,,N/A,,"500,000",,,,2024: New release trial to assess relative survival rate of fed fry compared to channel production.,Preliminary
BC South Coast,OPS,Big Qualicum R,WEM - Big Qualicum Hatchery,Coho,Fall,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14,,Primary,"550,000",Transfer Out,Egg,Comox Valley Sch,Comox Valley Schools,,100,,,,,,,,,,Preliminary
BC South Coast,OPS,Big Qualicum R,WEM - Big Qualicum Hatchery,Coho,Fall,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14,,Primary, -   ,Transfer Out,Egg,Qualicum Sch,Qualicum Schools,,1000,,,,,,,,,,Preliminary
BC South Coast,OPS,Big Qualicum R,WEM - Big Qualicum Hatchery,Coho,Fall,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14, Assessment/Harvest ,Primary, -   ,Release,Smolt 1+,Big Qualicum R,Big Qualicum River H,14,400000,"200,000","200,000",AD,,"400,000",,,,,Preliminary
BC South Coast,OPS,Big Qualicum R,WEM - Big Qualicum Hatchery,Sockeye,Summer,Sakinaw Lk,SEL-11-07,SAKINAW,16, Conservation ,Primary,"1,200,000",Release,Fed Fry,Sakinaw Lk,Rosewall Creek H,16,620000,,,,,,,,,,Preliminary
BC South Coast,OPS,Big Qualicum R,WEM - Big Qualicum Hatchery,Sockeye,Summer,Sakinaw Lk,SEL-11-07,SAKINAW,16, Conservation ,Primary, -   ,Release,Fed Fall,Sakinaw Lk,Rosewall Creek H,16,80000,,,,,,,,,,Preliminary
BC South Coast,OPS,Big Qualicum R,WEM - Big Qualicum Hatchery,Sockeye,Summer,Sakinaw Lk,SEL-11-07,SAKINAW,16, Conservation ,Primary, -   ,Release,Smolt 1+,Sakinaw Lk,Rosewall Creek H,16,25000,,,,,,,,,,Preliminary
BC South Coast,PIP,Campbell R Sch,CA - Campbell River,Chinook,Fall,Salmon R/JNST,CK-29,EAST VANCOUVER ISLAND-NORTH_FA_0.x,13,,Primary,100,Transfer In,Egg,Sayward F&G,Memekay River H,,100,,,,,,,,,,Preliminary
BC South Coast,PIP,Campbell R Sch,CA - Campbell River,Chinook,Fall,Salmon R/JNST,CK-29,EAST VANCOUVER ISLAND-NORTH_FA_0.x,13, Stewardship/Education ,Primary, -   ,Release,Fed Fry,Salmon R/JNST,Campbell River Schools,13,100,,,,,,,,,,Preliminary
BC South Coast,PIP,Campbell R Sch,CA - Campbell River,Coho,Fall,Oyster R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14,,Primary, -   ,Transfer In,Egg,Oyster R,Oyster River H,,100,,,,,,,,,,Preliminary
BC South Coast,PIP,Campbell R Sch,CA - Campbell River,Coho,Fall,Oyster R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14, Education ,Primary, -   ,Release,Fed Fry,Oyster R,Campbell River Schools,14,100,,,,,,,,,,Preliminary
BC South Coast,PIP,Campbell R Sch,CA - Campbell River,Coho,Fall,Quinsam R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,13,,Primary, -   ,Transfer In,Egg,Quinsam R,Quinsam River H,,1600,,,,,,,,,,Preliminary
BC South Coast,PIP,Campbell R Sch,CA - Campbell River,Coho,Fall,Quinsam R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,13, Education ,Primary, -   ,Release,Fed Fry,Hyacinthe Cr,Campbell River Schools,13,100,,,,,,,,,,Preliminary
BC South Coast,PIP,Campbell R Sch,CA - Campbell River,Coho,Fall,Quinsam R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,13, Education ,Primary, -   ,Release,Fed Fry,Larson Meadow,Campbell River Schools,13,100,,,,,,,,,,Preliminary
BC South Coast,PIP,Campbell R Sch,CA - Campbell River,Coho,Fall,Quinsam R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,13, Education ,Primary, -   ,Release,Fed Fry,Nunn's Cr,Campbell River Schools,13,300,,,,,,,,,,Preliminary
BC South Coast,PIP,Campbell R Sch,CA - Campbell River,Coho,Fall,Quinsam R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,13, Education ,Primary, -   ,Release,Fed Fry,Salmon R/JNST,Campbell River Schools,13,100,,,,,,,,,,Preliminary
BC South Coast,PIP,Campbell R Sch,CA - Campbell River,Coho,Fall,Quinsam R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,13, Education ,Primary, -   ,Release,Fed Fry,Simms Cr,Campbell River Schools,13,1000,,,,,,,,,,Preliminary
BC South Coast,DPI,Chapman Cr,"CA - Sunshine Coast & Howe Sound, Port Mellon to Desolation Sound",Chinook,Fall,Chilliwack R,CK-9008,FRASER-HARRISON FALL TRANSPLANT_FA_0.3<<BIN>>,29E,,Primary, -   ,Transfer In,Egg,Chilliwack R,Chilliwack River H,,70000,,,,,,,,,,Preliminary
BC South Coast,DPI,Chapman Cr,"CA - Sunshine Coast & Howe Sound, Port Mellon to Desolation Sound",Chinook,Fall,Chilliwack R,CK-9008,FRASER-HARRISON FALL TRANSPLANT_FA_0.3<<BIN>>,29E, Harvest ,Primary, -   ,Release,Smolt 0+,Chapman Cr,Chapman Creek H,16,65000,,,N/A,,"65,000",,,,,Preliminary
BC South Coast,DPI,Chapman Cr,"CA - Sunshine Coast & Howe Sound, Port Mellon to Desolation Sound",Chum,Fall,Angus Cr,CM-4,GEORGIA STRAIT,16, Rebuilding ,Primary,"100,000",Release,Fed Fry,Angus Cr,Chapman Creek H,16,90000,,,,,,,,,,Preliminary
BC South Coast,DPI,Chapman Cr,"CA - Sunshine Coast & Howe Sound, Port Mellon to Desolation Sound",Chum,Fall,Chapman Cr,CM-4,GEORGIA STRAIT,16, Rebuilding ,Primary,"100,000",Release,Fed Fry,Chapman Cr,Chapman Creek H,16,90000,,,,,,,,,,Preliminary
BC South Coast,DPI,Chapman Cr,"CA - Sunshine Coast & Howe Sound, Port Mellon to Desolation Sound",Coho,Fall,Chapman Cr,CO-10,HOWE SOUND-BURRARD INLET,16,,Primary,"70,000",Transfer Out,Egg,Sunshine Coast Sch,Sunshine Coast Schools,,300,,,,,,,,,,Preliminary
BC South Coast,DPI,Chapman Cr,"CA - Sunshine Coast & Howe Sound, Port Mellon to Desolation Sound",Coho,Fall,Chapman Cr,CO-10,HOWE SOUND-BURRARD INLET,16, Harvest ,Primary, -   ,Release,Smolt 1+,Chapman Cr,Chapman Creek H,16,50000,,"50,000",AD,,"50,000",,,,,Preliminary
BC South Coast,DPI,Chapman Cr,"CA - Sunshine Coast & Howe Sound, Port Mellon to Desolation Sound",Pink,Fall,Chapman Cr,PKO-3,GEORGIA STRAIT,16, Harvest ,Primary,"250,000",Release,Fed Fry,Chapman Cr,Chapman Creek H,16,240000,,,,,,,,,,Preliminary
BC South Coast,CDP,Clayoquot,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Chinook,Fall,Kennedy R Low,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,24, Rebuilding ,Primary,"200,000",Release,Smolt 0+,Kennedy R Low,Kennedy River H,24,150000,,,N/A,,"150,000",,,,Production lowered in 2022 to better align with actual brood collected in recent history. Priority release location is Kennedy R Low if less than 150k fish are available for release.,Preliminary
BC South Coast,CDP,Clayoquot,"CA - Central W Coast of Van Is, east to Nanaimo, south to Chemainus",Chinook,Fall,Kennedy R Low,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,24, Rebuilding ,Primary, -   ,Release,Smolt 0+,Kennedy R Up,Kennedy River H,24,50000,,,N/A,,"50,000",,,,Priority release location is Kennedy R Low if less than 150k fish are on hand.,Preliminary
BC South Coast,PIP,Comox Valley Sch,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Coho,Fall,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14,,Primary,100,Transfer In,Egg,Big Qualicum R,Big Qualicum River H,,100,,,,,,,,,,Preliminary
BC South Coast,PIP,Comox Valley Sch,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Coho,Fall,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14, Education ,Primary, -   ,Release,Fed Fry,Big Qualicum R,Comox Valley Schools,14,100,,,,,,,,,,Preliminary
BC South Coast,PIP,Comox Valley Sch,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Coho,Fall,Little R/GSVI,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14,,Primary, -   ,Transfer In,Egg,Little R/GSVI,Little River H,,300,,,,,,,,,,Preliminary
BC South Coast,PIP,Comox Valley Sch,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Coho,Fall,Little R/GSVI,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14, Education ,Primary, -   ,Release,Fed Fry,Little R/GSVI,Comox Valley Schools,14,300,,,,,,,,,,Preliminary
BC South Coast,PIP,Comox Valley Sch,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Coho,Fall,Oyster R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14,,Primary, -   ,Transfer In,Egg,Oyster R,Oyster River H,,400,,,,,,,,,,Preliminary
BC South Coast,PIP,Comox Valley Sch,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Coho,Fall,Oyster R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14, Education ,Primary, -   ,Release,Fed Fry,Oyster R,Comox Valley Schools,14,400,,,,,,,,,,Preliminary
BC South Coast,PIP,Comox Valley Sch,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Coho,Fall,Puntledge R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14,,Primary, -   ,Transfer In,Egg,Puntledge R,Puntledge River H,,3000,,,,,,,,,,Preliminary
BC South Coast,PIP,Comox Valley Sch,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Coho,Fall,Puntledge R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14, Education ,Primary, -   ,Release,Fed Fry,Puntledge R,Comox Valley Schools,14,3000,,,,,,,,,,Preliminary
BC South Coast,PIP,Comox Valley Sch,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Coho,Fall,Rosewall Cr,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14,,Primary, -   ,Transfer In,Egg,Fanny Bay/GSVI,Fanny Bay H,,2000,,,,,,,,,,Preliminary
BC South Coast,PIP,Comox Valley Sch,"CA - Central E&W Van Is, Nanoose to Oyster R & Gold R to Tahsis",Coho,Fall,Rosewall Cr,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,14, Education ,Primary, -   ,Release,Fed Fry,Rosewall Cr,Comox Valley Schools,14,2000,,,,,,,,,,Preliminary
BC South Coast,OPS,Conuma R,WEM - Conuma River Hatchery,Chinook,Fall,Burman R,CK-32,WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x,25, Rebuilding ,Primary,"230,000",Release,Seapen 0+,Burman Est,Burman Est Seapen,25,200000,,,N/A,"200,000","200,000",,,,2024: Change from Harvest to (genetic) Rebuilding: cessation of Burman Chinook mass marking will allow for more effective visual stray exclusion as a means to halt and revert rapid introgression and prevent current trend towards genetic extirpation of native Burman ancestry genetics.,Preliminary
BC South Coast,OPS,Conuma R,WEM - Conuma River Hatchery,Chinook,Fall,Conuma R,CK-32,WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x,25,,Primary,"3,200,000",Transfer Out,Egg,Unknown,Unknown,,500,,,,,,,,,Transfer out to research facility or university.,Preliminary
BC South Coast,OPS,Conuma R,WEM - Conuma River Hatchery,Chinook,Fall,Conuma R,CK-32,WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x,25, Harvest ,Primary, -   ,Release,Seapen 0+,Conuma Est,Conuma River H,25,1700000,,"2,200,000",AD,"2,200,000","2,200,000",,,,2025: Release strategy adjustment. 500k seapen converted to fed fry river release. No net change in total Chinook releases.,Preliminary
BC South Coast,OPS,Conuma R,WEM - Conuma River Hatchery,Chinook,Fall,Conuma R,CK-32,WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x,25, Harvest ,Primary, -   ,Release,Fed Fry,Conuma R,Conuma River H,25,1000000,,"500,000",AD,"500,000","500,000",,,,2025: Release strategy adjustment. 500k seapen converted to fed fry river release. No net change in total Chinook releases.,Preliminary
BC South Coast,OPS,Conuma R,WEM - Conuma River Hatchery,Chinook,Fall,Gold R,CK-32,WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x,25, Harvest ,Primary,"550,000",Release,Smolt 0+,Muchalat Lk,Conuma River H,25,500000,,"500,000",AD,"500,000","500,000",,,,,Preliminary
BC South Coast,OPS,Conuma R,WEM - Conuma River Hatchery,Chum,Fall,Canton Cr,CM-10,SOUTHWEST VANCOUVER ISLAND,25, Harvest ,Primary,"550,000",Release,Fed Fry,Canton Cr,Conuma River H,25,500000,,,N/A,"500,000",,,,,,Preliminary
